Period,Blob1,Blob2,Area1,Area2,Growth/Shrink
2017-2018,71,82;86,166.3311732,209.1670492,Shrink
2017-2018,75,91;92,87.95573955,59.75693571,Shrink
2017-2018,78,88;121,344.2511394,378.9286473,Shrink
2017-2018,82,77;85,26.24363937,72.78544073,Shrink
2017-2018,94,100;112,42.72923065,81.83251993,Shrink
2017-2018,100,115;149,294.7188252,375.9914571,Shrink
2017-2018,106,129;131;139,176.2980684,150.9120353,Shrink
2017-2018,109,135;138,72.6476905,63.52951441,Shrink
2017-2018,113,132;153;172,488.1734618,520.4070141,Shrink
2017-2018,116,137;148,58.76157925,68.91066024,Shrink
2017-2018,118,145;163;174;176,369.5616321,378.0577104,Shrink
2017-2018,129,150;156;162,227.4478369,189.0821779,Shrink
2017-2018,137,157;168;179,118.9406527,108.88933,Shrink
2017-2018,151,187;192;208;218,505.1789491,476.3935959,Shrink
2017-2018,152,178;201,185.7272934,215.1347444,Shrink
2017-2018,153,180;184;201,117.9541834,89.28436267,Shrink
2017-2018,161,182;191;223;239,662.9607213,651.2208474,Shrink
2017-2018,162,196;200,305.6899639,249.5411954,Shrink
2017-2018,175,211;231,196.9961504,177.9866196,Shrink
2017-2018,176,206;225;235;236;247,408.3938645,529.9295537,Shrink
2017-2018,179,202;216,531.227072,582.6390103,Shrink
2017-2018,183,217;220,189.2199281,119.4472181,Shrink
2017-2018,193,221;233;251,275.0516481,472.3321861,Shrink
2017-2018,195,234;248;254,458.1172517,404.2124787,Shrink
2017-2018,201,239;244,187.6869014,97.95373965,Shrink
2017-2018,213,224;265,72.39885139,424.617286,Shrink
2017-2018,222,264;265,233.7621294,290.2574953,Shrink
2017-2018,224,253;268;271,219.2050413,59.45033037,Shrink
2017-2018,237,253;277,24.75060469,157.1996665,Shrink
2017-2018,241,293;301,261.2321902,165.8690434,Shrink
2017-2018,247,253;277,89.33768534,157.1996665,Shrink
2017-2018,249,295;306;309;314,642.9202855,555.4666678,Shrink
2017-2018,251,305;319,552.8627442,435.0996337,Shrink
2017-2018,254,299;298,61.0988895,51.33195429,Shrink
2017-2018,270,332;330,102.6239166,779.1597002,Shrink
2017-2018,272,324;326,217.0188119,157.0663598,Shrink
2017-2018,288,329;354;362;369,382.2746447,1120.21148,Shrink
2017-2018,289,340;350,264.5426391,300.4687861,Shrink
2017-2018,295,329;359,454.0913903,1034.090929,Shrink
2017-2018,298,338;344,159.6569527,217.2498768,Shrink
2017-2018,299,355;377;389;392,702.8416328,677.3089623,Shrink
2017-2018,309,363;384,313.9149854,348.1970168,Shrink
2017-2018,310,364;388,279.6862766,262.2231031,Shrink
2017-2018,321,365;381,29.50965274,32.77566611,Shrink
2017-2018,325,385;386,100.9220348,100.0777592,Shrink
2017-2018,326,382;397;413;427,324.237365,362.594137,Shrink
2017-2018,342,406;413,170.1570746,676.8779374,Shrink
2017-2018,381,439;462,349.6056239,362.7407743,Shrink
2017-2018,391,454;463;473;475,321.7934094,336.7193127,Shrink
2017-2018,396,460;474,163.8294514,155.3067118,Shrink
2017-2018,403,479;500,366.0645539,332.0402487,Shrink
2017-2018,406,482;493;501,312.3508538,81.02379281,Shrink
2017-2018,408,476;497;504,394.9876573,393.9878573,Shrink
2017-2018,409,483;485;489,206.6831016,203.0882651,Shrink
2017-2018,412,484;509,249.3056869,251.9184976,Shrink
2017-2018,424,524;503;510;523,328.3654282,1005.101172,Shrink
2017-2018,435,509;514,183.6699272,143.655709,Shrink
2017-2018,436,524;513;523,257.3263048,846.5817694,Shrink
2017-2018,439,519;527,411.6998699,480.7349497,Shrink
2017-2018,446,530;543,384.0209621,186.7048756,Shrink
2017-2018,448,524;536;561,517.6564532,775.342686,Shrink
2017-2018,455,537;559,142.7136752,90.6129858,Shrink
2017-2018,469,550;557,70.50589671,22.30664911,Shrink
2017-2018,481,571;573,239.9786637,119.8471381,Shrink
2017-2018,484,567;579;580;583,333.66659,352.0273617,Shrink
2017-2018,489,574;596;603,510.289038,498.0737036,Shrink
2017-2018,491,575;576;585,265.1825111,251.3363918,Shrink
2017-2018,495,582;591,146.6906575,166.7222061,Shrink
2017-2018,503,589;604;609,284.3253486,382.8478634,Shrink
2017-2018,509,598;613,282.1702242,333.4577429,Shrink
2017-2018,510,599;610,229.3807836,238.8500006,Shrink
2017-2018,534,631;633,219.9915506,228.2876689,Shrink
2017-2018,539,636;649,228.7720165,234.646397,Shrink
2017-2018,545,644;654;657,120.9313657,500.8420388,Shrink
2017-2018,546,646;652;662,388.8599941,420.2670451,Shrink
2017-2018,548,644;654,343.0869279,428.2343403,Shrink
2017-2018,556,672;663;667,337.3236363,835.8017035,Shrink
2017-2018,560,664;666,270.6436409,334.2931313,Shrink
2017-2018,562,665;670,286.6537718,257.1352319,Shrink
2017-2018,563,674;680,167.5176026,171.552351,Shrink
2017-2018,565,668;675;676;687,259.063735,289.8931238,Shrink
2017-2018,567,678;692,340.5674319,318.9228725,Shrink
2017-2018,579,687;699;700,155.7332931,147.3971828,Shrink
2017-2018,584,705;706;708;733,310.2001729,257.823983,Shrink
2017-2018,589,709;731,237.6413535,283.6988073,Shrink
2017-2018,592,726;715,175.942584,171.7123191,Shrink
2017-2018,593,712;721,6.305405396,68.57739357,Shrink
2017-2018,602,727;737,313.9771951,373.942978,Shrink
2017-2018,613,739;754,141.416157,63.86722464,Shrink
2017-2018,619,747;752;762,384.1987043,340.816271,Shrink
2017-2018,623,753;760;769;779;781,686.5737758,718.3096499,Shrink
2017-2018,624,758;771,126.0103497,106.0587851,Shrink
2017-2018,627,776;767;772,345.1976168,387.971283,Shrink
2017-2018,651,799;801,35.29960569,44.30669289,Shrink
