Blob1,Blob2,Area1,Area2
329,283,1034.0909285651999,1318.2607527407997
332,285,779.1597002375998,960.9277856112
335,288,59.77470993119999,53.8736680944
344,300,217.24987683959998,204.981219828
353,309,68.76402291,62.43195618
355,307,469.3372295831999,853.0249249763999
356,310,520.1581749804,602.6838895835999
357,311,473.70080118239997,559.0259558135999
372,322,683.5832628372,731.5247842055999
373,324,194.3877832776,235.22850279719998
375,328,822.2444153351998,905.0234126075999
389,307,46.05301023839999,853.0249249763999
392,307,161.91872250839998,853.0249249763999
399,347,636.8103965915999,851.1586316244
405,354,62.2631010672,76.8379634352
406,355,676.8779374368,837.4547061540001
414,363,381.70586959559995,415.69462638
415,362,1156.7152889028,1357.328493576
419,365,138.77668494359997,200.4443495604
421,367,372.01447483199996,491.968258254
423,371,97.63824719879999,112.17311756639998
429,377,668.1285764603999,771.1924050468
434,383,30.904929197999994,174.2451457428
438,393,304.79236571519994,327.83220150119996
444,398,105.112307718,57.73067435519999
446,391,164.8736869824,208.2783380832
448,394,511.30216866959995,579.7818040212001
449,397,90.6085422396,93.6390471588
450,396,807.5406898548,834.7352501268
451,399,243.62682288119996,216.02345549399996
457,408,46.959495580799995,43.95565199519999
458,409,76.64244698879999,109.20926598119999
459,417,92.25265781159999,833.1355701107999
467,416,329.334123294,364.30934942159996
468,418,181.63033514999998,190.54410768359998
472,411,23.964095350799997,41.813858196
478,421,207.13190073839996,312.42639423599996
484,428,251.9184976308,338.6389287204
486,417,681.4236948155999,833.1355701107999
487,430,343.775678994,416.6277730559999
488,431,162.68301407159998,193.383539712
492,434,661.7387435076,802.4661493596
503,443,186.607117422,243.31577398919998
504,444,249.55452605159996,357.17299912799996
505,445,523.6197047927999,589.4021018952
513,453,124.7572670256,116.73664916759999
516,456,599.6578282199999,696.9272603039999
517,455,272.1100142772,330.0850841903999
522,458,279.6196232412,327.2278779396
524,459,721.8245023307999,903.5170472591999
525,461,375.33825442079996,564.6026180916
537,472,90.61298579519999,105.10342060679999
538,465,287.04924820439993,179.94622757759996
539,474,316.1456502732,397.0405799712
542,469,612.0820096775999,818.3518606296
549,471,170.4148008156,259.5125341512
553,485,174.70727552519998,271.76786049599997
558,487,402.0484671324,506.4409188432
560,483,40.26305729159999,166.5800123328
561,459,53.51818364639999,903.5170472591999
573,499,119.84713808759997,176.6802142116
574,501,411.54878900520004,535.0707475739999
578,504,114.76815403679997,413.86388147279996
584,513,553.4937290916,660.0990714912
588,504,70.7014131516,413.86388147279996
598,527,333.4577428907999,371.3301672696
603,533,86.52491464319999,97.15389963839998
606,534,217.7208937332,284.7119379588
618,543,44.0667408852,59.0415232572
620,544,290.96846424359995,352.7783226396
628,554,73.10537673119998,68.1108202368
632,557,421.24462732439997,513.8572131395999
635,566,141.238414746,117.51871495319998
638,560,321.74453032919996,453.6337040928
643,569,290.0042126784,376.0181184276
647,573,339.2565829488,453.98030142959993
651,577,81.561463038,106.94749618079999
655,580,226.63466626679997,239.60096150759998
657,579,72.60769850399998,109.03596731279998
674,597,171.55235104919996,280.8860365872
683,606,39.6276288408,42.2671008672
686,602,34.290918565199995,88.99553155679997
688,611,244.62662289119996,247.2483206952
691,607,54.76682276999999,86.21386575119999
694,615,590.1130707911999,543.5357209919999
696,613,469.63939136399995,568.5840439091999
700,591,11.602123671599998,140.6651960736
703,620,135.7683978024,191.9927068092
704,622,131.4448182036,153.1293695316
712,618,68.5773935748,185.60287385639995
722,638,273.678589404,346.38404613119997
724,618,16.7122126116,185.60287385639995
729,642,512.5508077932,628.7720045112
735,647,185.9716889712,224.866131138
739,651,63.86722463879999,127.10790793800001
740,653,257.99283813599993,291.66610247279993
744,658,48.079271592,66.08011532759998
748,661,224.70616313639997,266.3511662196
749,667,57.7751099112,177.49338488639998
761,667,85.9250346372,177.49338488639998
762,672,31.846962985199994,58.48163525159999
764,674,22.151124665999998,46.395164019599996
766,677,698.4336256523999,814.5792819251999
768,680,578.5509391199998,676.5846627671999
776,683,341.03400518879994,493.03026804239994
785,695,152.73389308319997,189.2021538924
786,696,29.2030474032,28.585393174799997
