Period,Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
2017-2018,756,-1,609,0,25.3104927,Pocillopora_dead,born,none
2017-2018,757,-1,610,0,34.07318434,Pocillopora_dead,born,none
2017-2018,749,-1,613,0,19.29391842,Pocillopora_dead,born,none
2017-2018,758,-1,621,0,11.59768012,Pocillopora_dead,born,none
2017-2018,759,-1,627,0,7.936190302,Pocillopora_dead,born,none
2017-2018,760,-1,628,0,73.10537673,Pocillopora,born,none
2017-2018,761,-1,629,0,63.27623174,Pocillopora,born,none
2017-2018,762,-1,633,0,48.74580493,Pocillopora_dead,born,none
2017-2018,763,-1,639,0,93.96787027,Pocillopora_dead,born,none
2017-2018,764,-1,641,0,79.2330399,Pocillopora_dead,born,none
2017-2018,765,-1,646,0,38.20569105,Pocillopora_dead,born,none
2017-2018,766,-1,653,0,71.74564872,Pocillopora_dead,born,none
2017-2018,767,-1,654,0,59.47254815,Pocillopora_dead,born,none
2017-2018,768,-1,656,0,81.97471371,Pocillopora_dead,born,none
2017-2018,769,-1,657,0,72.6076985,Pocillopora,born,none
2017-2018,770,-1,661,0,20.01377442,Pocillopora,born,none
2017-2018,771,-1,663,0,11.39327656,Pocillopora_dead,born,none
2017-2018,772,-1,666,0,17.23210862,Pocillopora_dead,born,none
2017-2018,773,-1,669,0,40.10753285,Pocillopora_dead,born,none
2017-2018,774,-1,670,0,37.81465816,Pocillopora_dead,born,none
2017-2018,775,-1,671,0,34.01541812,Pocillopora_dead,born,none
2017-2018,776,-1,673,0,38.49452216,Pocillopora_dead,born,none
2017-2018,777,-1,674,0,171.552351,Pocillopora,born,none
2017-2018,778,-1,676,0,4.376902266,Pocillopora_dead,born,none
2017-2018,779,-1,677,0,100.1977352,Pocillopora,born,none
2017-2018,762,-1,680,0,29.02086162,Pocillopora_dead,born,none
2017-2018,780,-1,684,0,9.526983206,Pocillopora,born,none
2017-2018,781,-1,686,0,34.29091857,Pocillopora,born,none
2017-2018,782,-1,687,0,69.09284602,Pocillopora_dead,born,none
2017-2018,783,-1,692,0,26.63022871,Pocillopora_dead,born,none
2017-2018,784,-1,697,0,60.53011438,Pocillopora_dead,born,none
2017-2018,785,-1,701,0,51.32751074,Pocillopora,born,none
2017-2018,527,-1,702,0,39.18771684,Pocillopora,born,none
2017-2018,786,-1,705,0,12.52193968,Pocillopora,born,none
2017-2018,787,-1,706,0,70.9369216,Pocillopora_dead,born,none
2017-2018,788,-1,710,0,110.1246384,Pocillopora_dead,born,none
2017-2018,789,-1,715,0,132.2535453,Pocillopora_dead,born,none
2017-2018,790,-1,719,0,20.9869131,Pocillopora_dead,born,none
2017-2018,532,-1,720,0,41.11177641,Pocillopora,born,none
2017-2018,791,-1,721,0,47.67046448,Pocillopora_dead,born,none
2017-2018,792,-1,723,0,112.8129896,Pocillopora_dead,born,none
2017-2018,793,-1,724,0,16.71221261,Pocillopora,born,none
2017-2018,794,-1,731,0,39.3210235,Pocillopora_dead,born,none
2017-2018,795,-1,733,0,24.44844291,Pocillopora,born,none
2017-2018,796,-1,737,0,31.1848732,Pocillopora_dead,born,none
2017-2018,797,-1,739,0,63.86722464,Pocillopora,born,none
2017-2018,798,-1,741,0,18.27190063,Pocillopora,born,none
2017-2018,799,-1,743,0,52.6116983,Pocillopora,born,none
2017-2018,800,-1,746,0,27.51893983,Pocillopora,born,none
2017-2018,801,-1,749,0,57.77510991,Pocillopora,born,none
2017-2018,802,-1,752,0,42.8847551,Pocillopora_dead,born,none
2017-2018,803,-1,754,0,40.59188041,Pocillopora_dead,born,none
2017-2018,804,-1,755,0,36.4993657,Pocillopora_dead,born,none
2017-2018,805,-1,764,0,22.15112467,Pocillopora,born,none
2017-2018,806,-1,771,0,14.2415957,Pocillopora_dead,born,none
2017-2018,807,-1,779,0,24.55508825,Pocillopora_dead,born,none
2017-2018,808,-1,786,0,29.2030474,Pocillopora,born,none
2017-2018,809,-1,787,0,199.3023558,Pocillopora_dead,born,none
2017-2018,622,-1,798,0,13.39287658,Pocillopora,born,none
2017-2018,810,-1,801,0,6.865293402,Pocillopora_dead,born,none
2017-2018,811,-1,804,0,113.0840465,Pocillopora_dead,born,none
2017-2018,812,-1,805,0,45.35092845,Pocillopora,born,none
2017-2018,813,-1,811,0,87.55581954,Pocillopora,born,none
