Time period,Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
2017-2018,731,-1,497,0,249.5545261,Pocillopora,born,none
2017-2018,284,-1,502,0,19.31613619,Pocillopora_dead,born,none
2017-2018,732,-1,503,0,96.66955208,Pocillopora,born,none
2017-2018,733,-1,504,0,19.15616819,Pocillopora_dead,born,none
2017-2018,734,-1,505,0,35.84616303,Pocillopora,born,none
2017-2018,735,-1,512,0,39.40545106,Pocillopora_dead,born,none
2017-2018,736,-1,515,0,26.23030871,Pocillopora_dead,born,none
2017-2018,737,-1,519,0,19.44499931,Pocillopora_dead,born,none
2017-2018,738,-1,522,0,134.9507836,Pocillopora_dead,born,none
2017-2018,739,-1,524,0,11.73543034,Pocillopora_dead,born,none
2017-2018,740,-1,537,0,47.84376315,Pocillopora_dead,born,none
2017-2018,741,-1,540,0,48.42586893,Pocillopora_dead,born,none
2017-2018,742,-1,543,0,22.30664911,Pocillopora,born,none
2017-2018,743,-1,548,0,31.21153453,Pocillopora_dead,born,none
2017-2018,744,-1,550,0,21.39572021,Pocillopora_dead,born,none
2017-2018,745,-1,552,0,53.51818365,Pocillopora,born,none
2017-2018,746,-1,553,0,16.52558328,Pocillopora,born,none
2017-2018,747,-1,554,0,52.13623785,Pocillopora_dead,born,none
2017-2018,748,-1,556,0,22.36441533,Pocillopora,born,none
2017-2018,749,-1,562,0,71.69676961,Pocillopora_dead,born,none
2017-2018,750,-1,566,0,43.63127244,Pocillopora,born,none
2017-2018,751,-1,570,0,31.98471321,Pocillopora_dead,born,none
2017-2018,752,-1,574,0,13.85944992,Pocillopora_dead,born,none
2017-2018,753,-1,576,0,130.2361711,Pocillopora_dead,born,none
2017-2018,754,-1,580,0,7.154124516,Pocillopora_dead,born,none
2017-2018,755,-1,583,0,80.41058214,Pocillopora,born,none
2017-2018,756,-1,584,0,65.3824771,Pocillopora_dead,born,none
2017-2018,757,-1,590,0,86.52491464,Pocillopora,born,none
2017-2018,758,-1,591,0,12.17089879,Pocillopora,born,none
2017-2018,759,-1,596,0,25.3104927,Pocillopora_dead,born,none
2017-2018,760,-1,597,0,34.07318434,Pocillopora_dead,born,none
2017-2018,761,-1,600,0,19.29391842,Pocillopora_dead,born,none
2017-2018,762,-1,603,0,57.20189124,Pocillopora,born,none
2017-2018,763,-1,609,0,11.59768012,Pocillopora_dead,born,none
2017-2018,764,-1,613,0,7.936190302,Pocillopora_dead,born,none
2017-2018,765,-1,614,0,73.10537673,Pocillopora,born,none
2017-2018,766,-1,615,0,63.27623174,Pocillopora,born,none
2017-2018,767,-1,619,0,48.74580493,Pocillopora_dead,born,none
2017-2018,768,-1,625,0,93.96787027,Pocillopora_dead,born,none
2017-2018,769,-1,627,0,79.2330399,Pocillopora_dead,born,none
2017-2018,770,-1,632,0,38.20569105,Pocillopora_dead,born,none
2017-2018,771,-1,640,0,71.74564872,Pocillopora_dead,born,none
2017-2018,772,-1,641,0,59.47254815,Pocillopora_dead,born,none
2017-2018,773,-1,643,0,81.97471371,Pocillopora_dead,born,none
2017-2018,774,-1,649,0,20.01377442,Pocillopora,born,none
2017-2018,326,-1,650,0,107.7340055,Pocillopora,born,none
2017-2018,775,-1,651,0,11.39327656,Pocillopora_dead,born,none
2017-2018,776,-1,654,0,17.23210862,Pocillopora_dead,born,none
2017-2018,777,-1,657,0,40.10753285,Pocillopora_dead,born,none
2017-2018,778,-1,658,0,37.81465816,Pocillopora_dead,born,none
2017-2018,779,-1,659,0,34.01541812,Pocillopora_dead,born,none
2017-2018,780,-1,661,0,38.49452216,Pocillopora_dead,born,none
2017-2018,781,-1,664,0,4.376902266,Pocillopora_dead,born,none
2017-2018,782,-1,668,0,29.02086162,Pocillopora_dead,born,none
2017-2018,783,-1,671,0,9.531426762,Pocillopora,born,none
2017-2018,784,-1,673,0,34.29091857,Pocillopora,born,none
2017-2018,785,-1,674,0,69.09284602,Pocillopora_dead,born,none
2017-2018,786,-1,679,0,26.63022871,Pocillopora_dead,born,none
2017-2018,787,-1,683,0,60.53011438,Pocillopora_dead,born,none
2017-2018,788,-1,686,0,11.60212367,Pocillopora,born,none
2017-2018,789,-1,687,0,51.32751074,Pocillopora,born,none
2017-2018,355,-1,688,0,39.18771684,Pocillopora,born,none
2017-2018,790,-1,691,0,12.52193968,Pocillopora,born,none
2017-2018,791,-1,692,0,70.9369216,Pocillopora_dead,born,none
2017-2018,792,-1,693,0,64.18271709,Pocillopora,born,none
2017-2018,793,-1,696,0,110.129082,Pocillopora_dead,born,none
2017-2018,794,-1,697,0,68.57739357,Pocillopora,born,none
2017-2018,795,-1,700,0,132.2535453,Pocillopora_dead,born,none
2017-2018,796,-1,704,0,20.9869131,Pocillopora_dead,born,none
2017-2018,797,-1,706,0,47.67046448,Pocillopora_dead,born,none
2017-2018,798,-1,708,0,112.8129896,Pocillopora_dead,born,none
2017-2018,799,-1,709,0,16.71221261,Pocillopora,born,none
2017-2018,800,-1,711,0,171.7123191,Pocillopora,born,none
2017-2018,801,-1,716,0,39.3210235,Pocillopora_dead,born,none
2017-2018,802,-1,718,0,24.44844291,Pocillopora,born,none
2017-2018,803,-1,722,0,31.1848732,Pocillopora_dead,born,none
2017-2018,804,-1,725,0,63.86722464,Pocillopora,born,none
2017-2018,805,-1,727,0,18.27190063,Pocillopora,born,none
2017-2018,806,-1,729,0,52.6116983,Pocillopora,born,none
2017-2018,807,-1,732,0,27.51893983,Pocillopora,born,none
2017-2018,372,-1,737,0,25.66597715,Pocillopora,born,none
2017-2018,808,-1,738,0,42.8847551,Pocillopora_dead,born,none
2017-2018,809,-1,740,0,40.59188041,Pocillopora_dead,born,none
2017-2018,810,-1,741,0,36.4993657,Pocillopora_dead,born,none
2017-2018,811,-1,743,0,33.84656301,Pocillopora,born,none
2017-2018,812,-1,750,0,22.15112467,Pocillopora,born,none
2017-2018,813,-1,756,0,14.2415957,Pocillopora_dead,born,none
2017-2018,814,-1,762,0,24.55508825,Pocillopora_dead,born,none
2017-2018,815,-1,763,0,64.5915242,Pocillopora,born,none
2017-2018,816,-1,768,0,29.2030474,Pocillopora,born,none
2017-2018,817,-1,769,0,199.3023558,Pocillopora_dead,born,none
2017-2018,818,-1,772,0,74.44288697,Pocillopora,born,none
2017-2018,819,-1,776,0,105.1522997,Pocillopora,born,none
2017-2018,820,-1,780,0,19.80048375,Pocillopora,born,none
2017-2018,818,-1,782,0,13.39287658,Pocillopora,born,none
2017-2018,821,-1,789,0,6.865293402,Pocillopora_dead,born,none
2017-2018,822,-1,792,0,99.29124988,Pocillopora,born,none
2017-2018,823,-1,793,0,113.0840465,Pocillopora_dead,born,none
2017-2018,824,-1,800,0,19.27614419,Acropora,born,none
2017-2018,825,-1,803,0,179.101952,Acropora,born,none
2017-2018,826,-1,805,0,5.652202723,Acropora,born,none
2017-2018,827,-1,807,0,43.89344222,Acropora,born,none
2017-2018,828,-1,808,0,6.678664067,Acropora,born,none
2017-2018,829,-1,814,0,63.12959441,Acropora,born,none
2017-2018,830,-1,816,0,99.55786322,Acropora,born,none
2017-2018,831,-1,822,0,39.34324128,Acropora,born,none
2017-2018,832,-1,823,0,108.3827646,Acropora,born,none
2017-2018,833,-1,830,0,26.52802693,Acropora,born,none
2017-2018,834,-1,835,0,10.59343655,Acropora,born,none
2017-2018,835,-1,836,0,70.35037226,Acropora,born,none
2017-2018,2,2,-1,103.4638726,0,Pocillopora_dead,dead,none
2017-2018,10,11,-1,301513.3476,0,WA,dead,none
2017-2018,11,12,-1,93.44394252,0,Pocillopora_dead,dead,none
2017-2018,16,17,-1,5.25170304,0,Pocillopora,dead,none
2017-2018,21,22,-1,25.1274474,0,Pocillopora,dead,none
2017-2018,26,27,-1,8.6715198,0,Pocillopora_dead,dead,none
2017-2018,27,28,-1,28.31661504,0,Pocillopora,dead,none
2017-2018,28,29,-1,9.2924982,0,Pocillopora_dead,dead,none
2017-2018,29,30,-1,302.8023745,0,Pocillopora_dead,dead,none
2017-2018,33,34,-1,32.26426344,0,Pocillopora_dead,dead,none
2017-2018,34,35,-1,37.84419792,0,Pocillopora,dead,none
2017-2018,36,37,-1,11.57237604,0,Pocillopora_dead,dead,none
2017-2018,37,38,-1,160.2523472,0,Pocillopora,dead,none
2017-2018,39,40,-1,98.71782336,0,Pocillopora,dead,none
2017-2018,41,42,-1,2.2843134,0,Pocillopora,dead,none
2017-2018,45,46,-1,170.8311578,0,Pocillopora,dead,none
2017-2018,49,51,-1,5.27388084,0,Pocillopora_dead,dead,none
2017-2018,60,62,-1,18.26563608,0,Pocillopora_dead,dead,none
2017-2018,62,64,-1,3.08714976,0,Pocillopora_dead,dead,none
2017-2018,63,65,-1,5.34928536,0,Pocillopora_dead,dead,none
2017-2018,64,66,-1,182.8204765,0,Pocillopora,dead,none
2017-2018,62,68,-1,2.54601144,0,Pocillopora_dead,dead,none
2017-2018,67,70,-1,4.80814704,0,Pocillopora,dead,none
2017-2018,73,76,-1,16.63335,0,Pocillopora_dead,dead,none
2017-2018,76,79,-1,118.7266345,0,Pocillopora,dead,none
2017-2018,78,81,-1,2.89642068,0,Pocillopora,dead,none
2017-2018,81,84,-1,18.0527292,0,Pocillopora_dead,dead,none
2017-2018,87,91,-1,30.8049642,0,Pocillopora_dead,dead,none
2017-2018,89,93,-1,4.80371148,0,Pocillopora_dead,dead,none
2017-2018,92,96,-1,22.10239548,0,Pocillopora_dead,dead,none
2017-2018,94,98,-1,34.16711868,0,Pocillopora_dead,dead,none
2017-2018,96,100,-1,25.30043424,0,Pocillopora,dead,none
2017-2018,94,105,-1,2.22221556,0,Pocillopora_dead,dead,none
2017-2018,101,106,-1,3.51296352,0,Pocillopora_dead,dead,none
2017-2018,102,107,-1,17.13013272,0,Pocillopora_dead,dead,none
2017-2018,105,110,-1,81.95584212,0,Pocillopora,dead,none
2017-2018,107,112,-1,80.73162756,0,Pocillopora,dead,none
2017-2018,112,118,-1,5.0565384,0,Pocillopora_dead,dead,none
2017-2018,113,119,-1,3.78353268,0,Pocillopora_dead,dead,none
2017-2018,114,120,-1,7.67795436,0,Pocillopora_dead,dead,none
2017-2018,118,124,-1,54.12713868,0,Pocillopora_dead,dead,none
